Time,Latitude,Longitude,Altitude,Relative Altitude,Heading
BREAK,2025-04-17 10:51:25.553718,,,,
1744909490.7185102,39.018719,-104.8935602,2158.61,1.899,206.03,DiscoStates.ALTITUDE_CONTROL
1744909490.7596798,39.018719,-104.8935602,2158.61,1.899,206.03,DiscoStates.ALTITUDE_CONTROL
1744909490.800864,39.018719,-104.8935602,2158.61,1.899,206.03,DiscoStates.ALTITUDE_CONTROL
1744909490.8216236,39.018719,-104.8935602,2158.52,1.809,205.95,DiscoStates.ALTITUDE_CONTROL
1744909490.8423321,39.018719,-104.8935602,2158.52,1.809,205.95,DiscoStates.ALTITUDE_CONTROL
1744909490.8629382,39.0187191,-104.8935602,2158.45,1.732,205.89,DiscoStates.ALTITUDE_CONTROL
1744909490.8837187,39.0187191,-104.8935602,2158.45,1.732,205.89,DiscoStates.ALTITUDE_CONTROL
1744909490.9248028,39.0187191,-104.8935602,2158.45,1.732,205.89,DiscoStates.ALTITUDE_CONTROL
1744909490.945527,39.0187191,-104.8935601,2158.44,1.729,205.82,DiscoStates.ALTITUDE_CONTROL
1744909490.9662588,39.0187191,-104.8935601,2158.44,1.729,205.82,DiscoStates.ALTITUDE_CONTROL
1744909491.007305,39.0187191,-104.8935601,2158.44,1.729,205.82,DiscoStates.ALTITUDE_CONTROL
1744909491.0279768,39.0187191,-104.8935601,2158.41,1.697,205.74,DiscoStates.ALTITUDE_CONTROL
1744909491.0487654,39.0187191,-104.8935601,2158.41,1.697,205.74,DiscoStates.ALTITUDE_CONTROL
1744909491.0901165,39.0187191,-104.8935601,2158.41,1.697,205.74,DiscoStates.ALTITUDE_CONTROL
1744909491.1107004,39.0187191,-104.8935602,2158.4,1.689,205.71,DiscoStates.ALTITUDE_CONTROL
1744909491.1312902,39.0187191,-104.8935602,2158.4,1.689,205.71,DiscoStates.ALTITUDE_CONTROL
1744909491.1521454,39.0187191,-104.8935603,2158.41,1.698,205.68,DiscoStates.ALTITUDE_CONTROL
1744909491.173131,39.0187191,-104.8935603,2158.41,1.698,205.68,DiscoStates.ALTITUDE_CONTROL
