Time,Latitude,Longitude,Altitude,Relative Altitude,Heading,State
BREAK,2025-04-29 10:40:33.181699,,,,,
1745945065.053934,39.0187817,-104.8939695,2171.09,11.011,179.67,DiscoStates.COORD_CONTROL
1745945066.0752323,39.0187817,-104.8939695,2171.09,11.01,179.67,DiscoStates.COORD_CONTROL
1745945067.0963054,39.0187817,-104.8939695,2171.09,11.01,179.67,DiscoStates.COORD_CONTROL
1745945068.1614594,39.0187817,-104.8939695,2171.08,11.008,179.67,DiscoStates.COORD_CONTROL
1745945069.1824996,39.0187817,-104.8939695,2171.08,11.008,179.67,DiscoStates.COORD_CONTROL
1745945070.2236671,39.0187817,-104.8939695,2171.08,11.008,179.67,DiscoStates.COORD_CONTROL
1745945071.2446961,39.0187817,-104.8939695,2171.08,11.008,179.67,DiscoStates.COORD_CONTROL
1745945072.3070908,39.0187817,-104.8939695,2171.08,11.008,179.67,DiscoStates.COORD_CONTROL
1745945073.328045,39.0187817,-104.8939695,2171.09,11.01,179.67,DiscoStates.COORD_CONTROL
1745945074.3490272,39.0187817,-104.8939695,2171.09,11.01,179.67,DiscoStates.COORD_CONTROL
1745945075.3704379,39.0187817,-104.8939695,2171.09,11.01,179.67,DiscoStates.COORD_CONTROL
1745945076.4354286,39.0187817,-104.8939695,2171.09,11.01,179.67,DiscoStates.COORD_CONTROL
1745945077.4770043,39.0187817,-104.8939695,2171.09,11.01,179.67,DiscoStates.COORD_CONTROL
1745945078.4980865,39.0187817,-104.8939695,2171.09,11.011,179.67,DiscoStates.COORD_CONTROL
1745945079.539707,39.0187817,-104.8939695,2171.08,11.009,179.67,DiscoStates.COORD_CONTROL
1745945080.560638,39.0187817,-104.8939695,2171.08,11.009,179.67,DiscoStates.COORD_CONTROL
1745945081.6020448,39.0187817,-104.8939695,2171.08,11.009,179.67,DiscoStates.COORD_CONTROL
1745945082.6231308,39.0187817,-104.8939695,2171.08,11.008,179.67,DiscoStates.COORD_CONTROL
1745945083.6850312,39.0187817,-104.8939695,2171.08,11.008,179.67,DiscoStates.COORD_CONTROL
1745945084.705963,39.0187817,-104.8939695,2171.08,11.009,179.67,DiscoStates.COORD_CONTROL
1745945085.7268615,39.0187817,-104.8939695,2171.08,11.009,179.67,DiscoStates.COORD_CONTROL
1745945086.789453,39.0187817,-104.8939695,2171.09,11.01,179.67,DiscoStates.COORD_CONTROL
1745945087.8104284,39.0187817,-104.8939695,2171.09,11.01,179.67,DiscoStates.COORD_CONTROL
1745945088.831253,39.0187817,-104.8939695,2171.09,11.01,179.67,DiscoStates.COORD_CONTROL
1745945089.852206,39.0187817,-104.8939695,2171.09,11.01,179.67,DiscoStates.COORD_CONTROL
1745945090.9342985,39.0187817,-104.8939695,2171.09,11.01,179.67,DiscoStates.COORD_CONTROL
1745945091.95522,39.0187817,-104.8939695,2171.08,11.009,179.67,DiscoStates.COORD_CONTROL
1745945092.9760995,39.0187817,-104.8939695,2171.08,11.009,179.67,DiscoStates.COORD_CONTROL
1745945093.9969344,39.0187817,-104.8939695,2171.08,11.008,179.67,DiscoStates.COORD_CONTROL
1745945095.0589187,39.0187817,-104.8939695,2171.08,11.008,179.67,DiscoStates.COORD_CONTROL
1745945096.0798626,39.0187817,-104.8939695,2171.08,11.009,179.67,DiscoStates.COORD_CONTROL
1745945097.1009257,39.0187817,-104.8939695,2171.08,11.009,179.67,DiscoStates.COORD_CONTROL
1745945098.1633377,39.0187817,-104.8939695,2171.09,11.01,179.67,DiscoStates.COORD_CONTROL
1745945099.1842222,39.0187817,-104.8939695,2171.09,11.01,179.67,DiscoStates.COORD_CONTROL
1745945100.2258594,39.0187817,-104.8939695,2171.09,11.01,179.67,DiscoStates.COORD_CONTROL
1745945101.2471004,39.0187817,-104.8939695,2171.09,11.011,179.67,DiscoStates.COORD_CONTROL
1745945102.289572,39.0187817,-104.8939695,2171.09,11.011,179.67,DiscoStates.COORD_CONTROL
1745945103.3105118,39.0187817,-104.8939695,2171.09,11.011,179.67,DiscoStates.COORD_CONTROL
1745945104.3518965,39.0187817,-104.8939695,2171.09,11.011,179.67,DiscoStates.COORD_CONTROL
1745945105.415194,39.0187817,-104.8939695,2171.08,11.009,179.67,DiscoStates.COORD_CONTROL
1745945106.4360883,39.0187817,-104.8939695,2171.08,11.009,179.67,DiscoStates.COORD_CONTROL
1745945107.459918,39.0187817,-104.8939695,2171.08,11.009,179.67,DiscoStates.COORD_CONTROL
1745945108.4808958,39.0187817,-104.8939695,2171.08,11.009,179.67,DiscoStates.COORD_CONTROL
