Time,Latitude,Longitude,Altitude,Relative Altitude,Heading
1732131699.9040773,39.0185103,-104.8933638,2189.43,24.348,188.92
1732131699.9683597,39.0184505,-104.8933917,2189.41,24.328,193.72
1732131700.9188101,39.0184505,-104.8933917,2189.41,24.328,193.72
1732131700.9819381,39.018402,-104.8934173,2188.88,23.797,197.6
1732131701.9657276,39.018402,-104.8934173,2188.88,23.797,197.6
1732131701.9946144,39.0183653,-104.8934343,2187.39,22.307,202.39
1732131702.9795208,39.0183653,-104.8934343,2187.39,22.307,202.39
1732131703.004952,39.0183412,-104.8934477,2185.94,20.853,202.32
1732131704.000015,39.0183412,-104.8934477,2185.94,20.853,202.32
1732131704.020663,39.0183259,-104.8934569,2184.31,19.22,205.48
1732131705.01146,39.0183158,-104.8934653,2183.08,17.994,212.97
1732131705.034543,39.0183158,-104.8934653,2183.08,17.994,212.97
1732131706.0177789,39.0183097,-104.8934731,2182.14,17.05,218.37
1732131706.0417154,39.0183097,-104.8934731,2182.14,17.05,218.37
1732131707.0291686,39.0183043,-104.8934788,2181.28,16.194,220.43
1732131707.0566094,39.0183043,-104.8934788,2181.28,16.194,220.43
1732131708.055954,39.0183028,-104.8934822,2180.34,15.253,224.47
1732131708.1036396,39.0183028,-104.8934822,2180.34,15.253,224.47
1732131709.0575507,39.0183024,-104.893485,2179.36,14.278,228.91
1732131709.114418,39.0183024,-104.893485,2179.36,14.278,228.91
1732131710.0560396,39.0183038,-104.8934885,2178.31,13.221,232.67
1732131710.122241,39.0183038,-104.8934885,2178.31,13.221,232.67
1732131711.076933,39.0183062,-104.8934883,2177.39,12.302,236.28
1732131711.127684,39.0183062,-104.8934883,2177.39,12.302,236.28
1732131712.0741217,39.0183095,-104.8934865,2176.81,11.728,241.79
1732131712.1366277,39.0183095,-104.8934865,2176.81,11.728,241.79
1732131713.0912082,39.0183108,-104.8934839,2176.47,11.384,244.9
1732131713.1420236,39.0183108,-104.8934839,2176.47,11.384,244.9
1732131714.0776982,39.0183131,-104.8934814,2176.12,11.034,252.74
1732131714.1686044,39.0183131,-104.8934814,2176.12,11.034,252.74
1732131715.094083,39.0183153,-104.8934794,2175.76,10.675,250.93
1732131715.1642888,39.0183153,-104.8934794,2175.76,10.675,250.93
1732131716.112025,39.0183179,-104.8934767,2175.39,10.301,260.09
1732131716.170627,39.0183179,-104.8934767,2175.39,10.301,260.09
1732131717.1191072,39.0183249,-104.8934767,2175.02,9.936,262.39
1732131717.1781034,39.0183249,-104.8934767,2175.02,9.936,262.39
1732131718.149962,39.0183628,-104.8934722,2174.66,9.572,263.54
1732131718.1974988,39.0183628,-104.8934722,2174.66,9.572,263.54
1732131719.170742,39.0184117,-104.8934681,2174.5,9.41,262.84
1732131719.191314,39.0184117,-104.8934681,2174.5,9.41,262.84
1732131720.171963,39.0184728,-104.8934656,2174.41,9.329,267.26
1732131720.197674,39.0184728,-104.8934656,2174.41,9.329,267.26
1732131721.1815755,39.0185321,-104.8934684,2174.44,9.358,272.23
1732131721.2036083,39.0185321,-104.8934684,2174.44,9.358,272.23
1732131722.187252,39.0185818,-104.8934766,2173.87,8.785,269.27
1732131722.214448,39.0185818,-104.8934766,2173.87,8.785,269.27
1732131723.2382698,39.0186274,-104.8934936,2173.54,8.455,281.77
1732131723.2588267,39.0186274,-104.8934936,2173.54,8.455,281.77
1732131724.2530258,39.0186274,-104.8934936,2173.54,8.455,281.77
1732131724.2736254,39.0186678,-104.8935105,2173.66,8.575,287.02
1732131725.2498453,39.0186678,-104.8935105,2173.66,8.575,287.02
1732131725.2744417,39.0186997,-104.8935212,2173.5,8.418,196.11
1732131726.2668886,39.0186997,-104.8935212,2173.5,8.418,196.11
1732131726.30063,39.0187256,-104.8935275,2173.38,8.299,132.33
1732131727.282941,39.0187256,-104.8935275,2173.38,8.299,132.33
1732131727.303506,39.018747,-104.8935337,2173.37,8.287,128.38
1732131728.29434,39.018747,-104.8935337,2173.37,8.287,128.38
1732131728.3176095,39.0187595,-104.8935435,2173.46,8.378,129.13
1732131729.2907593,39.0187595,-104.8935435,2173.46,8.378,129.13
1732131729.3113804,39.0187674,-104.8935517,2173.64,8.554,133.88
1732131730.3044286,39.0187674,-104.8935517,2173.64,8.554,133.88
1732131730.3514197,39.0187734,-104.8935573,2174.0,8.918,140.42
1732131731.3061082,39.0187734,-104.8935573,2174.0,8.918,140.42
1732131731.3970232,39.0187815,-104.8935623,2174.38,9.29,145.25
1732131732.3254335,39.0187815,-104.8935623,2174.38,9.29,145.25
1732131732.4163377,39.0187899,-104.893569,2174.69,9.609,142.86
1732131733.3462768,39.0187899,-104.893569,2174.69,9.609,142.86
1732131733.4089162,39.018798,-104.8935754,2174.93,9.849,97.6
1732131734.3395424,39.018798,-104.8935754,2174.93,9.849,97.6
1732131734.4304702,39.0188008,-104.8935816,2174.96,9.876,110.27
1732131735.3434515,39.0188008,-104.8935816,2174.96,9.876,110.27
1732131735.4343097,39.0188043,-104.8935885,2174.98,9.891,112.06
1732131736.3693233,39.0188043,-104.8935885,2174.98,9.891,112.06
1732131736.4198027,39.0187981,-104.8935599,2174.97,9.889,118.32
1732131737.3896878,39.0187981,-104.8935599,2174.97,9.889,118.32
1732131737.4262605,39.0187741,-104.8934778,2175.12,10.032,119.54
1732131738.3950496,39.0187741,-104.8934778,2175.12,10.032,119.54
1732131738.4451828,39.0187444,-104.89338,2175.58,10.498,125.49
1732131739.4148455,39.0187444,-104.89338,2175.58,10.498,125.49
1732131739.476052,39.0187139,-104.8932522,2176.56,11.471,127.45
1732131740.4410396,39.0187139,-104.8932522,2176.56,11.471,127.45
1732131740.5063207,39.0187029,-104.893189,2177.3,12.218,131.89
1732131741.4764247,39.0187029,-104.893189,2177.3,12.218,131.89
1732131741.5172944,39.0186937,-104.893141,2178.37,13.283,137.0
1732131742.4721289,39.0186937,-104.893141,2178.37,13.283,137.0
1732131742.5268545,39.0186786,-104.8931146,2179.29,14.206,142.12
1732131743.4837468,39.0186786,-104.8931146,2179.29,14.206,142.12
1732131743.5314977,39.0186678,-104.8930982,2180.24,15.153,147.9
